Time(s), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V)
0.000002,520.875000,-58.000000,-313.906250,411.000000,-304.531250,-357.687500,0.007812,-1510.687500,0.187500,-7.710938,0.000000,0.000000,0.031250
0.064419,556.875000,-57.875000,-273.781250,413.468750,-304.625000,-517.687500,0.007812,-1510.687500,0.000000,-5.164062,-0.015625,0.000000,0.007812
0.128003,556.812500,-58.156250,-319.218750,413.250000,-304.656250,-517.750000,0.007812,-1510.875000,0.000000,-5.179688,-0.015625,0.023438,0.062500
0.190835,556.781250,-58.000000,-318.187500,413.562500,-278.125000,-517.687500,0.015625,-1510.687500,0.000000,-2.664062,-0.015625,0.046875,0.023438
0.253688,556.781250,-57.812500,-319.187500,407.656250,-304.562500,-406.687500,0.000000,-1510.875000,0.187500,-2.632812,-0.039062,0.039062,-0.007812
0.316522,491.718750,-58.000000,-288.937500,413.531250,-304.625000,-517.156250,0.000000,-1510.875000,0.000000,-0.101562,0.015625,0.054688,0.023438
0.379383,556.906250,-58.281250,-319.125000,413.437500,-304.593750,-517.656250,0.000000,-1510.687500,0.000000,-0.140625,0.000000,0.023438,0.007812
0.442244,556.718750,-57.906250,-318.968750,413.531250,-303.843750,-517.718750,-0.007812,-1510.875000,0.000000,-0.148438,0.015625,0.007812,0.000000
0.505455,556.812500,-57.843750,-319.125000,413.593750,-258.968750,-517.718750,0.007812,-1510.687500,0.000000,-0.132812,0.039062,0.078125,0.046875
0.569887,556.812500,-57.875000,-319.187500,402.843750,-304.625000,-406.500000,0.000000,-1510.875000,0.000000,-0.140625,0.000000,0.046875,0.000000
0.633335,504.125000,-57.875000,-311.343750,413.531250,-304.718750,-383.843750,0.000000,-1510.875000,0.000000,-0.132812,-0.015625,0.062500,0.023438
0.696199,556.843750,-58.937500,-319.218750,413.468750,-304.687500,-517.718750,0.007812,-1510.875000,0.187500,-0.125000,0.000000,-0.046875,0.007812
0.758985,557.156250,-57.906250,-318.718750,413.593750,-303.531250,-517.750000,0.000000,-1510.875000,0.000000,-0.109375,0.031250,0.039062,0.015625
